#id,targetid,jd,filter,mag,magerr,datatype,reference,quality,instrumentid,telescopeid,groupid,datecreated,source,note,flux,fluxerr,fluxunit,SNR,mag3sig,objectname,dateobs
2663541,1786,2459640.82892,U,16.4385,0.0237,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,8,1m009,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663542,1786,2459640.83268,U,16.4336,0.0219,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,8,1m009,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663547,1786,2459641.70522,U,16.8311,0.0219,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,533,1m014,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663548,1786,2459641.70899,U,16.848,0.0209,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,533,1m014,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663553,1786,2459642.68341,U,16.9253,0.019,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,533,1m014,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663554,1786,2459642.68719,U,15.9648,0.0306,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,533,1m014,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663555,1786,2459642.94687,U,16.8786,0.0518,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,7,1m008,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663556,1786,2459642.95066,U,16.8619,0.0489,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,7,1m008,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663561,1786,2459644.24638,U,16.6178,0.0256,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,11,1m003,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663562,1786,2459644.25017,U,16.5921,0.0237,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,11,1m003,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663567,1786,2459644.81242,U,16.6235,0.0246,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,9,1m005,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663568,1786,2459644.8162,U,16.6647,0.0228,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,9,1m005,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2663573,1786,2459645.8753,U,16.8986,0.0228,1,960,NULL,NULL,NULL,1,2024-05-24 20:32:12,8,1m009,NULL,NULL,NULL,NULL,NULL,NULL,NULL
